"ITTER107","Territorio","TIPO_DATO22","Tipo dato","LOCSTRADALE","Localizzazione dell incidente","INTERSEZIONE","Intersezione","NATURAINCIDENTE","Natura dell incidente","SI_NO","Incidente mortale","ORA","Ora incidente stradale","GIORNOSETT","Giorno della settimana","MESE2","Mese","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","2","febbraio","2015","2015",1192,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","2","febbraio","2016","2016",1268,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","2","febbraio","2017","2017",1222,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","2","febbraio","2018","2018",1140,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","2","febbraio","2014","2014",22,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","2","febbraio","2015","2015",25,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","2","febbraio","2016","2016",27,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","2","febbraio","2017","2017",26,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","2","febbraio","2018","2018",22,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","3","marzo","2014","2014",1682,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","3","marzo","2015","2015",1498,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","3","marzo","2016","2016",1175,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","3","marzo","2017","2017",1358,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","3","marzo","2018","2018",1209,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","3","marzo","2014","2014",46,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","3","marzo","2015","2015",40,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","3","marzo","2016","2016",24,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","3","marzo","2017","2017",36,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","3","marzo","2018","2018",19,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","4","aprile","2014","2014",25,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","4","aprile","2015","2015",34,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","4","aprile","2016","2016",40,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","4","aprile","2017","2017",63,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","4","aprile","2018","2018",51,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","8","agosto","2014","2014",1777,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","8","agosto","2015","2015",1794,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","8","agosto","2016","2016",1468,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","8","agosto","2017","2017",1487,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","8","agosto","2018","2018",1357,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","8","agosto","2014","2014",65,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","8","agosto","2015","2015",57,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","8","agosto","2016","2016",37,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","8","agosto","2017","2017",39,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","8","agosto","2018","2018",37,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","9","settembre","2014","2014",1484,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","9","settembre","2015","2015",1525,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","9","settembre","2016","2016",1484,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","9","settembre","2017","2017",1435,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","9","settembre","2018","2018",1878,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","9","settembre","2014","2014",49,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","9","settembre","2015","2015",46,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","9","settembre","2016","2016",38,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","9","settembre","2017","2017",40,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","9","settembre","2018","2018",48,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","10","ottobre","2014","2014",1425,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","10","ottobre","2015","2015",1340,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","10","ottobre","2016","2016",1701,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","10","ottobre","2017","2017",1851,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","10","ottobre","2018","2018",1467,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","10","ottobre","2014","2014",56,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","10","ottobre","2015","2015",42,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","10","ottobre","2016","2016",49,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","10","ottobre","2017","2017",47,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","10","ottobre","2018","2018",47,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","4","aprile","2014","2014",1323,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","4","aprile","2015","2015",1288,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","4","aprile","2016","2016",1449,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","4","aprile","2017","2017",1746,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","4","aprile","2018","2018",1686,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","5","maggio","2014","2014",1650,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","5","maggio","2015","2015",1872,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","5","maggio","2016","2016",1905,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","5","maggio","2017","2017",1617,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","5","maggio","2018","2018",1524,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","5","maggio","2014","2014",44,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","5","maggio","2015","2015",52,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","5","maggio","2016","2016",60,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","5","maggio","2017","2017",41,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","5","maggio","2018","2018",53,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","6","giugno","2014","2014",1962,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","6","giugno","2015","2015",1625,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","6","giugno","2016","2016",1468,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","6","giugno","2017","2017",1756,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","6","giugno","2018","2018",1710,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","6","giugno","2014","2014",68,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","6","giugno","2015","2015",50,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","6","giugno","2016","2016",46,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","6","giugno","2017","2017",43,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","6","giugno","2018","2018",44,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","7","luglio","2014","2014",1548,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","7","luglio","2015","2015",1616,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","7","luglio","2016","2016",2084,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","7","luglio","2017","2017",2116,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","7","luglio","2018","2018",2167,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","7","luglio","2014","2014",41,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","7","luglio","2015","2015",55,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","7","luglio","2016","2016",47,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","7","luglio","2017","2017",65,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","7","luglio","2018","2018",65,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","11","novembre","2014","2014",1640,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","11","novembre","2015","2015",1726,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","11","novembre","2016","2016",1324,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","11","novembre","2017","2017",1398,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","11","novembre","2018","2018",1355,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","11","novembre","2014","2014",36,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","11","novembre","2015","2015",50,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","11","novembre","2016","2016",31,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","11","novembre","2017","2017",37,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","11","novembre","2018","2018",37,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","12","dicembre","2014","2014",1247,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","12","dicembre","2015","2015",1305,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","12","dicembre","2016","2016",1136,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","12","dicembre","2017","2017",1542,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","1","domenica","12","dicembre","2018","2018",1548,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","12","dicembre","2014","2014",31,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","12","dicembre","2015","2015",33,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","12","dicembre","2016","2016",23,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","12","dicembre","2017","2017",34,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","1","domenica","12","dicembre","2018","2018",35,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","1","gennaio","2014","2014",1659,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","1","gennaio","2015","2015",1725,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","1","gennaio","2016","2016",1776,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","1","gennaio","2017","2017",1963,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","1","gennaio","2018","2018",1930,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","2","febbraio","2014","2014",1865,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","2","febbraio","2015","2015",1662,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","2","febbraio","2016","2016",2186,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","2","febbraio","2017","2017",1661,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","2","febbraio","2018","2018",1587,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","3","marzo","2014","2014",2546,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","3","marzo","2015","2015",2347,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","3","marzo","2016","2016",1602,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","3","marzo","2017","2017",1834,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","3","marzo","2018","2018",1650,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","1","gennaio","2014","2014",32,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","1","gennaio","2015","2015",29,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","1","gennaio","2016","2016",21,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","1","gennaio","2017","2017",36,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","1","gennaio","2018","2018",36,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","2","febbraio","2014","2014",27,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","2","febbraio","2015","2015",27,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","2","febbraio","2016","2016",34,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","2","febbraio","2017","2017",34,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","2","febbraio","2018","2018",15,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","3","marzo","2014","2014",40,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","3","marzo","2015","2015",39,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","3","marzo","2016","2016",21,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","3","marzo","2017","2017",33,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","3","marzo","2018","2018",30,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","4","aprile","2014","2014",24,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","4","aprile","2015","2015",30,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","4","aprile","2016","2016",32,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","4","aprile","2017","2017",31,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","1","si","99","totale","2","lunedì","4","aprile","2018","2018",35,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","4","aprile","2014","2014",2007,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","4","aprile","2015","2015",1911,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","4","aprile","2016","2016",1927,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","4","aprile","2017","2017",1916,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","4","aprile","2018","2018",2282,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","5","maggio","2014","2014",2132,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","5","maggio","2015","2015",2188,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","5","maggio","2016","2016",2662,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","5","maggio","2017","2017",2545,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","5","maggio","2018","2018",1979,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","6","giugno","2014","2014",2682,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","6","giugno","2015","2015",2578,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","6","giugno","2016","2016",2214,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","6","giugno","2017","2017",2360,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","6","giugno","2018","2018",2239,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","7","luglio","2014","2014",2115,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","7","luglio","2015","2015",2242,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","7","luglio","2016","2016",2301,,
"IT","Italia","ROADACC","incidenti stradali con lesioni alle persone","9","totale","9","totale","9","totale","0","no","99","totale","2","lunedì","7","luglio","2017","2017",2729,,
